id,created_at,favorite_count,retweet_count,text
1354064322796937221,2021-01-26 13:51:06,8,3,"රූපලාවණ්‍යාගාරයක හිමිකාරියකට කොවිඩ් බව තහවුරු වේ

කහතුඩුව නගරයේ රූපලාවණ්‍යාගාරයක හිමිකාරියකට සහ එම නගරයේ කොණ්ඩා කපන ස්ථානයක හිමිකරුටත් කොවිඩ් ආසාදනය වී ඇති බව සෞඛ්‍ය බලධාරීන් පවසයි.
#adaderanasinhala #lka #slnews #slcovid19

වැඩි විස්තර - https://t.co/9K2DqGzBwE https://t.co/4r4XJrJafi"
1354052221005164544,2021-01-26 13:03:01,4,1,"ආසාදිතයින් 369ක්

කොවිඩ් -19 වෛරසය ආසාදනය වූ තවත් රෝගීන් 369 දෙනෙකු අද (26) දිනයේ..
#adaderanasinhala #lka #slnews #slcovid19
වැඩි විස්තර - https://t.co/aHGz4DDimb https://t.co/HRROg9Udgp"
1354049475560566784,2021-01-26 12:52:06,3,1,"විරෝධතාවයක නිරත ඉන්දීය ගොවියෝ ඓතිහාසික රතු බලකොටුවට ඇතුළු වෙති

ඉන්දියාවේ කෘෂිකාර්මික රාජ්‍ය ප්‍රතිපත්ති වෙනස් කිරීමට එරෙහිව විරෝධතාවයක යෙදෙන ගොවීන් පිරිසක් නවදිල්ලි අගනුවර පිහිටා ඇති ඓතිහාසික රතු...
#adaderanasinhala #lka #slnews 

වැඩි විස්තර - https://t.co/gKPlxuj744 https://t.co/Tc2CJFX5Kq"
1354045379000598531,2021-01-26 12:35:49,12,7,"කොටස් ආයෝජකයින්ට අනතුරු ඇඟවීමක්

ලැයිස්තුගත සමාගම් සම්බන්ධයෙන් පදනම් විරහිත කොටස් ඉඟි/ආයෝජන උපදෙස් බවට වියහැකි අදහස්...
#adaderanasinhala #lka #slnews 

වැඩි විස්තර - https://t.co/KFq2WriujS https://t.co/9wTIEaEPxT"
1354043318880133122,2021-01-26 12:27:38,9,4,"විදෙස්ගත ශ්‍රමිකයින් ගෙන්වා ගැනීමට නව ක්‍රමවේදයක්

විදේශ සේවා නියුක්ති කාර්යංශය සතු අරමුදල් භාවිත කරමින් කොවිඩ් ව්‍යසනය හේතුවෙන් අසරණ වී සිටින විදෙස්ගත ශ්‍රී ලාංකික ශ්‍රමිකයින්...
#adaderanasinhala #lka #slnews 

වැඩි විස්තර - https://t.co/sxJ1uX0YwJ https://t.co/3EQZJfaLqv"
1354041001556520960,2021-01-26 12:18:26,6,3,"වියළි කහ සහ ග්ලයිෆොසේට් තොගයක් නාවික හමුදා භාරයට

මුහුදු මාර්ගයෙන් නීතිවිරෝධී ලෙස ගෙන ඒමට උත්සහ කළ තවත් වියළි කහ සහ ග්ලයිෆොසේට් තොගයක් සමග සැකකරුවන් තිදෙනෙක් නාවික හමුදා භාරයට ගෙන තිබේ.
#adaderanasinhala #lka #slnews 

වැඩි විස්තර - https://t.co/BvzJ4mAgKK https://t.co/apobUrE2eS"
1354040195730038788,2021-01-26 12:15:14,25,3,"කොරෝනා වෛරසය ශ්‍රී ලංකාව තුළ පැතිරීම වේගවත් වීමට හේතුව සොයා ගැනේ

එය ශ්‍රී ලංකාව තුළ මීට පෙර හඳුනාගත් වෛරස් ප්‍රභේදයට වඩා වෙනස් වන බවත්..
#adaderanasinhala #lka #slnews #slcovid19
වැඩි විස්තර - https://t.co/6FVC5BUfST https://t.co/uCcWN1oRDB"
1354024213003317249,2021-01-26 11:11:43,10,2,"ජසින්ඩා ආර්ඩන් ගත් දැඩි තීන්දුවක්

ලොව පුරා කොවිඩ් -19 වසංගත තත්ත්වයේ අවදානම හේතුවෙන් තවදුරටත් සිය රටේ දේශසීමා වසා තැබිමට සිදුවනු ඇති බව නවසීලන්ත අග්‍රාමාත්‍ය ජසින්ඩා ආර්ඩන් පවසයි.
#adaderanasinhala

වැඩි විස්තර - https://t.co/gUVc0guTMn https://t.co/kEmLwcePbY"
1354020651674251264,2021-01-26 10:57:34,6,3,"බැලූන්වලටත් ඇන්ටිජන්

ත්‍රිකුණාමලය - මහනුවර ප්‍රධාන මාර්ගයේ ආන්දන්කුලම් ප්‍රදේශයේ ස්ථාන කිහිපයක දමා ගොස් තිබූ කළු පැහැති බැලූන කිහිපයක් ප්‍රදේශයේ කුඩා දරුවන් විසින් සොයාගෙන ඒවායින් ක්‍රීඩාකර ඇත.
#adaderanasinhala #lka #slnews #slcovid19

වැඩි විස්තර - https://t.co/O8DwTeqHVt https://t.co/zWxCUsURpo"
1354018519399206913,2021-01-26 10:49:06,7,3,"අවන්ති දේවී පාලිකාවට ඇප

දැරියන් කෘරත්වයට පත් කිරීමේ චෝදනා මත අත්අඩංගුවට ගත් අනුරාධපුර අවන්ති දේවී ළමා නිවාසයේ ප්‍රධාන පාලිකාව දැඩි ඇප කොන්දේසි මත මුදාහැරීමට අනුරාධපුර මහෙස්ත්‍රාත් අධිකරණය නියෝගකර තිබේ.
#adaderanasinhala #lka #slnews

වැඩි විස්තර - https://t.co/ZepuJe0puR https://t.co/FvRhtTVmuk"
